VID,DOF,TRT,WG,avg_IBW_kg,avg_FBW_kg,ADG_kg,COV_DMI_kg,COV_CH4_g,COV_CO2_g,COV_O2_g,COV_H2_g,COV_RQ_L,COV_CH4_Yield,COV_CH4_Intensity,TRT_DMI_kg,TRT_CH4_g,TRT_CO2_g,TRT_O2_g,TRT_H2_g,Feed_effic,TRT_RQ_L,TRT_CH4_Yield,TRT_CH4_Intensity,HCW_kg,DP,MARB,Cont_Marb,PYG,FAT_in,KPH_percent,REA_in,USDA_YG,Quality_Grade,Quality_Grade_NoPlusMinus,CALC_YG,CXS_Program,Value_per_CWT,Carcass_Value,QQ_cat_numeric,LMA_cm2
2533R,52,CON,HEAVY,561.33,663.39,1.89,11.08,176.57,10765.56,7658.54,1.8,1.41,15.94,93.42,11.53,175.02,10150.23,7012.76,1.6,6.1,1.05,15.18,92.61,397.8,62.11,MT30,6.3,4,0.8,2,12.2,YG4,Choice,Choice,4.3286,CAB,297.5005701,2609.08,6,78.70952
2537R,52,CON,HEAVY,624.83,688.34,1.18,9.31,201.71,10995.96,8475.91,1.17,1.3,21.66,171.52,10.46,251.1,11696.4,7765.72,1.28,8.9,1.1,24,213.52,410.05,61.84,SLA60,8.6,3.5,0.6,2,13.1,YG3,Prime-,Prime,3.6432,HRI,316.5,2861.16,8,84.51596
2545R,52,CON,HEAVY,549.99,616.9,1.24,9.31,137.81,9605.9,7479.61,0.8,1.28,14.81,111.23,9.57,172.91,9538.78,6423.05,1.42,7.73,1.08,18.06,139.56,363.33,61.11,MAB80,9.8,3.2,0.48,2,13.5,YG2,Prime,Prime,2.8238,HRI,315.5006242,2527.16,9,87.0966
2555R,52,CON,HEAVY,581.74,669.06,1.62,9.8,195.63,10854.26,7657.55,1.44,1.42,19.97,120.99,10.03,191.33,9643.25,6705.87,1.37,6.21,1.05,19.07,118.33,395.54,61.29,MD60,7.6,3.1,0.44,2,12.1,YG3,Choice+,Choice,3.4416,CAB,302.5,2637.8,7,78.06436
2567R,52,CON,HEAVY,628.24,711.02,1.53,11.67,.,.,.,,,,,10.87,117,10140.94,7696.19,0.4,7.09,0.96,10.77,76.32,393.72,57.43,SLA20,8.2,3.9,0.76,2,11.3,YG4,Prime-,Prime,4.4824,HRI,311.5,2703.82,8,72.90308
2580R,52,CON,HEAVY,597.62,706.48,2.02,9.12,163.32,10563.89,8269.6,1.34,1.28,17.91,81.01,11.62,206.18,11031.34,7583.65,1.77,5.76,1.06,17.75,102.27,422.3,61.91,SLA00,8,3.9,0.76,2,14.4,YG3,Prime-,Prime,3.7298,HRI,316.5005371,2946.62,8,92.90304
2596R,52,CON,HEAVY,590.81,682.67,1.7,10.18,142.96,9734.28,7824.93,0.4,1.24,14.04,84.05,11.09,178.17,9751.17,6809.59,0.57,6.52,1.04,16.06,104.74,374.22,56.82,MD00,7,3.1,0.44,2,12.3,YG3,Choice+,Choice,3.199,CAB,300.5006061,2479.13,7,79.35468
2626R,52,CON,HEAVY,594.22,689.47,1.76,11.69,137.74,11144.44,9146.89,2.34,1.22,11.78,78.08,12.94,164.46,11307.4,8031.8,1.35,7.34,1.02,12.71,93.23,405.06,60.89,MAB80,9.8,3.1,0.44,2,15.2,YG2,Prime,Prime,2.5294,HRI,317.5005599,2835.28,9,98.06432
2676R,52,CON,HEAVY,587.41,681.53,1.74,11.42,186.89,11004.67,7844.49,1.17,1.4,16.37,107.22,11.77,149.4,10157.97,7356.29,1.05,6.75,1,12.69,85.72,398.26,60.56,MT00,6,3.4,0.56,2,14,YG3,Choice,Choice,3.1564,CAB,302.5,2655.95,6,90.3224
2705R,52,CON,HEAVY,551.12,620.3,1.28,9.34,121.46,10249.56,8217.48,0.93,1.25,13.01,94.82,10.33,168.94,10053.91,6879.99,1.1,8.06,1.06,16.36,131.88,353.35,59.09,SM80,5.8,3.5,0.6,2,13.6,YG3,Choice-,Choice,3.0082,Angus Pride,294.5006418,2294.16,5,87.74176
2732R,52,CON,HEAVY,571.54,650.92,1.47,8.75,118.86,11574.77,9459.74,1.03,1.22,13.59,80.85,10.71,164.63,10927.48,7543.02,1.46,7.29,1.05,15.37,111.99,374.22,59.62,MD20,7.2,3.2,0.48,2,14.4,YG2,Choice+,Choice,2.627,CAB,301.5006061,2487.38,7,92.90304
2735R,52,CON,HEAVY,586.28,684.94,1.83,10.77,180.21,11216.54,7588.74,1,1.48,16.73,98.64,10.92,189.55,10397.08,7015.38,1.41,5.98,1.08,17.36,103.75,408.69,61.82,MAB90,9.9,4.2,0.88,2,11.8,YG4,Prime,Prime,4.7478,HRI,311.5005549,2806.62,0,76.12888
2741R,52,CON,HEAVY,568.13,652.05,1.55,7.18,157.2,10020.88,7865.3,0.8,1.27,21.89,101.16,10.58,205.96,10383.94,6952.47,1.16,6.81,1.09,19.46,132.54,385.1,61.23,MT60,6.6,4.1,0.84,2,14.4,YG3,Choice,Choice,3.6182,CAB,300.5005889,2551.25,6,92.90304
2744R,52,CON,HEAVY,565.87,652.05,1.6,10.3,114.63,9880.11,7764.59,0.94,1.27,11.13,71.82,11.61,123.82,9764.93,7174.64,0.61,7.27,0.99,10.67,77.58,382.84,60.86,MAB40,9.4,2.6,0.24,2,13.1,YG2,Prime,Prime,2.5152,HRI,315.5,2662.82,9,84.51596
2766R,52,CON,HEAVY,543.19,635.04,1.7,9.31,168.49,9753.43,7787.69,0.86,1.25,18.11,99.05,11.56,147.94,9329.23,6610.35,0.71,6.8,1.03,12.8,86.98,351.08,57.28,SM07,5.07,3.3,0.52,2,11.8,YG3,Choice-,Choice,3.3652,Angus Pride,294.5,2279.43,5,76.12888
2856R,52,CON,HEAVY,573.8,677,1.91,11.72,115.47,10115.08,7673.48,1.25,1.32,9.85,60.42,11.34,156.37,10257.22,7104.97,0.74,5.93,1.05,13.79,81.83,388.28,59.41,MT20,6.2,3.5,0.6,2,12.4,YG3,Choice,Choice,3.6848,CAB,302.5,2589.4,6,79.99984
2538R,80,CON,LIGHT,527.31,666.79,1.74,10.53,175.36,10882.27,7746.77,1.53,1.4,16.66,100.58,11.36,191.11,11136.02,8399.07,1.2,6.52,0.96,16.82,109.61,387.37,60.52,MAB70,9.7,3.5,0.6,2,12.4,YG3,Prime,Prime,3.6772,HRI,317,2707.18,9,79.99984
2593R,80,CON,LIGHT,532.98,671.33,1.73,10.07,197.77,10700.31,7177.68,1.32,1.49,19.64,114.36,10.65,199.82,10535.21,7694.84,1.32,6.16,1,18.76,115.54,374.67,58.14,MD00,7,3.5,0.6,2,13.1,YG3,Choice+,Choice,3.3468,CAB,301,2486.26,7,84.51596
2677R,80,CON,LIGHT,523.91,650.92,1.59,9.26,114.05,10363.25,8171.16,0.95,1.27,12.32,71.84,10.61,156.94,11072.55,8375.34,1.26,6.68,0.96,14.8,98.85,378.75,60.61,MT30,6.3,3.4,0.56,2,12.1,YG3,Choice,Choice,3.601,CAB,301,2513.35,6,78.06436
2681R,80,CON,LIGHT,529.58,681.53,1.9,7.9,213.62,10485.56,6973.28,1.28,1.5,27.05,112.46,9.91,181.3,10637.16,7781.75,0.95,5.22,0.99,18.3,95.45,391,59.76,SLA40,8.4,3.7,0.68,2,14.5,YG3,Prime-,Prime,3.2356,HRI,317,2732.54,8,93.5482
2689R,80,CON,LIGHT,517.1,665.66,1.86,8.67,153.49,10426.02,7033.84,2.53,1.48,17.71,82.66,10.04,147.98,10049.19,7524.62,1.1,5.4,0.97,14.74,79.69,383.74,60.05,MT50,6.5,3.5,0.6,2,15.9,YG2,Choice,Choice,2.5268,CAB,302,2554.92,6,102.58044
2710R,80,CON,LIGHT,491.02,641.84,1.89,8.24,157.19,9766.6,7506.61,0.77,1.3,19.07,83.38,10.53,175.72,9809.03,7357.86,0.78,5.59,0.97,16.69,93.21,356.53,57.86,SM10,5.1,3.8,0.72,2,10.7,YG4,Choice-,Choice,4.2628,HRI,290,2279.4,5,69.03212
2745R,80,CON,LIGHT,543.19,679.27,1.7,9.39,119.93,9807.15,7775.45,1.35,1.26,12.77,70.51,10.46,153.49,10681.82,8032.68,0.99,6.15,0.97,14.67,90.24,389.64,59.75,MT40,6.4,3.7,0.68,2,14.7,YG3,Choice,Choice,3.1602,CAB,303,2602.77,6,94.83852
2820R,80,CON,LIGHT,527.31,681.53,1.93,11.44,204.2,11157.94,7766.11,1.42,1.44,17.85,105.92,12.16,189.36,10785.84,7837.78,1.42,6.31,1,15.58,98.23,402.34,61.49,MT90,6.9,3.5,0.6,2,13,YG3,Choice,Choice,3.6106,CAB,303,2687.61,6,83.8708
2824R,80,CON,LIGHT,537.52,684.94,1.84,8.2,142.41,9014.68,6981.51,1.44,1.29,17.37,77.28,10.43,139.36,10233.17,7549.94,1.16,5.66,0.99,13.36,75.63,392.82,59.74,MD30,7.3,3.4,0.56,2,14.2,YG3,Choice+,Choice,3.0468,CAB,303,2623.98,7,91.61272
2834R,80,CON,LIGHT,512.57,680.4,2.1,9.42,115.16,9423.26,6653.25,1.67,1.42,12.22,54.89,10.68,140.6,10010.75,7540.89,0.72,5.09,0.97,13.16,67.02,390.09,59.72,MD10,7.1,3.7,0.68,2,13.2,YG3,Choice+,Choice,3.644,CAB,303,2605.8,7,85.16112
2835R,80,CON,LIGHT,535.25,683.8,1.86,9.74,148.09,9839.19,7699.26,0.96,1.28,15.2,79.75,11.63,180.62,10942.64,8076.83,0.86,6.26,0.99,15.53,97.27,384.2,58.53,MD70,7.7,3.4,0.56,2,13.8,YG3,Choice+,Choice,3.1026,CAB,301,2549.47,7,89.03208
2836R,80,CON,LIGHT,515.97,669.06,1.91,8.8,121.56,9844.3,7687.48,0.83,1.28,13.81,63.52,10.55,152.03,10281.78,7887.97,0.96,5.52,0.95,14.41,79.45,390.09,60.73,MD50,7.5,3.3,0.52,2,12.9,YG4,Choice+,Choice,3.34,CAB,303,2605.8,7,83.22564
2851R,80,CON,LIGHT,501.23,665.66,2.06,10.45,225.18,10621.16,7121.48,1.22,1.49,21.55,109.56,10.93,226.68,10648.62,7820.98,0.94,5.32,0.99,20.74,110.29,378.75,59.27,MT60,6.6,3.9,0.76,2,11.9,YG4,Choice,Choice,4.165,CAB,296,2471.6,6,76.77404
2871R,80,CON,LIGHT,527.31,684.94,1.97,10.2,144.8,10035.11,7081.15,0.9,1.42,14.2,73.49,11.21,179.06,10547.73,7811.74,0.8,5.69,0.98,15.97,90.88,397.8,60.5,MT70,6.7,3.5,0.6,2,14.4,YG3,Choice,Choice,3.1246,CAB,303,2657.31,6,92.90304
2883R,80,CON,LIGHT,520.51,665.66,1.81,12.48,146.06,10533.56,7445.11,0.77,1.41,11.7,80.5,11.91,169.24,11120.52,8302.32,1.08,6.56,0.97,14.21,93.28,381.93,59.77,MD70,7.7,3.6,0.64,2,12.8,YG3,Choice+,Choice,3.6036,CAB,301,2534.42,7,82.58048
2579R,52,IMP,HEAVY,618.03,745.04,2.35,11.33,236.98,12062.95,8635.7,0.88,1.4,20.92,100.76,12.44,275.63,12128.56,8305.68,1.21,5.29,1.06,22.16,117.19,433.19,60.19,SM60,5.6,3.3,0.52,2,13.6,YG3,Choice-,Choice,3.477,Angus Pride,296.5005236,2831.58,5,87.74176
2592R,52,IMP,HEAVY,569.27,680.4,2.06,11.99,172.41,11046.86,8110.46,1.49,1.36,14.38,83.78,12.03,183.12,10600.3,7765.26,1.22,5.84,0.99,15.23,88.98,403.25,61.36,SM60,5.6,3.2,0.48,2,14,YG3,Choice-,Choice,2.9982,Angus Pride,296.5005624,2635.89,5,90.3224
2638R,52,IMP,HEAVY,554.53,674.73,2.23,11.02,167.89,11201.92,8106.23,0.77,1.38,15.24,75.42,11.32,171.31,10713.06,7567.93,1,5.09,1.03,15.13,76.96,391,59.97,MD40,7.4,2.6,0.24,2,14.1,YG2,Choice+,Choice,2.2636,CAB,303.5,2616.17,7,90.96756
2652R,52,IMP,HEAVY,608.96,729.16,2.23,10.76,174.18,11337.11,9303.49,1.13,1.22,16.19,78.25,11.43,165.58,10783.98,7806.32,1.44,5.14,1,14.48,74.38,435.91,61.89,SLA30,8.3,3.1,0.44,2,14.1,YG3,Prime-,Prime,3.1398,HRI,316.5005203,3041.57,8,90.96756
2660R,52,IMP,HEAVY,625.97,765.45,2.58,12,.,.,.,,,,,11.87,.,",",,,4.6,,.,.,450.88,60.95,SLA60,8.6,3.5,0.6,2,15.8,YG3,Prime-,Prime,3.1212,HRI,316.5,3146.01,8,101.93528
2679R,52,IMP,HEAVY,595.35,716.69,2.25,9.9,226.88,10699.54,8282.97,1.95,1.29,22.92,100.97,11.6,205.85,10769.22,7432.39,1.87,5.16,1.05,17.74,91.61,430.92,62.24,SLA20,8.2,3.4,0.56,2,15.1,YG3,Prime-,Prime,3.078,HRI,316.5,3006.75,8,97.41916
2682R,52,IMP,HEAVY,547.72,683.8,2.52,8.91,214.93,11348.47,8517.59,1.35,1.33,24.11,85.29,11.27,172.23,10036.32,6953.81,0.98,4.47,1.05,15.29,68.35,400.53,60.57,MD10,7.1,3.4,0.56,2,13.8,YG3,Choice+,Choice,3.2394,CAB,302.5005663,2671.08,7,89.03208
2686R,52,IMP,HEAVY,564.73,711.02,2.71,8.41,208.4,10732.88,7607.21,1.24,1.41,24.77,76.93,10.69,236.48,10830.3,7399.37,1.05,3.94,1.06,22.13,87.29,421.39,61.27,MT80,6.8,3.8,0.72,2,12.4,YG4,Choice,Choice,4.2622,CAB,297.5005382,2763.78,6,79.99984
2688R,52,IMP,HEAVY,597.62,697.41,1.85,11.01,171.72,11332.85,7923.5,1.21,1.43,15.6,92.92,11.22,178.95,11119.55,7684.22,1.62,6.07,1.05,15.95,96.84,420.94,62.54,MT80,6.8,3.4,0.56,2,14.5,YG3,Choice,Choice,3.1864,CAB,302.5,2807.2,6,93.5482
2723R,52,IMP,HEAVY,587.41,712.15,2.31,9.8,199.76,11825.77,8835.71,1.84,1.34,20.39,86.48,11.57,210.81,11463.62,7634.03,1.89,5.01,1.09,18.22,91.26,405.97,59,MD10,7.1,3.4,0.56,2,13.4,YG3,Choice+,Choice,3.413,CAB,302.5005587,2707.38,7,86.45144
2730R,52,IMP,HEAVY,580.61,665.66,1.57,7.07,220.5,11546.6,8826.67,0.79,1.31,31.19,140,10.01,234.96,10782.84,7365.45,0.98,6.35,1.06,23.47,149.18,382.84,59.63,SM40,5.4,3,0.4,2,13.6,YG2,Choice-,Choice,2.7552,HRI,295.5,2494.02,5,87.74176
2738R,52,IMP,HEAVY,576.07,724.63,2.75,9.14,196.5,11929.33,8510.62,1.76,1.4,21.49,71.43,11.54,224.63,11405.95,7740.49,1.33,4.19,1.07,19.47,81.65,416.4,59.41,MD00,7,3.2,0.48,2,13.9,YG3,Choice+,Choice,3.1404,CAB,302.5,2776.95,7,89.67724
2754R,52,IMP,HEAVY,574.94,691.74,2.16,9.99,227.06,11669.02,7887.48,1.23,1.48,22.73,104.97,10.64,218.44,11115.13,7511.99,1.21,4.92,1.08,20.53,100.99,407.33,60.96,SLA10,8.1,3.5,0.6,2,14.6,YG4,Prime-,Prime,3.1404,HRI,316.5,2842.17,8,94.19336
2755R,52,IMP,HEAVY,549.99,674.73,2.31,8.27,145.25,10627.87,8388.02,1.16,1.27,17.57,62.88,11.04,159.07,10356.77,7201.51,1.75,4.78,1.05,14.41,68.86,409.6,62.8,SLA50,8.5,3.5,0.6,2,14.1,YG3,Prime-,Prime,3.3194,HRI,316.5005537,2858,8,90.96756
2823R,52,IMP,HEAVY,540.92,679.27,2.56,10.8,167.96,10950.39,7646.95,1.36,1.43,15.55,65.56,11.97,191.29,10792.78,7395.18,1.76,4.67,1.06,15.97,74.67,398.71,60.69,MT90,6.9,3.1,0.44,2,14.6,YG2,Choice,Choice,2.6682,CAB,303.5005688,2667.77,6,94.19336
2832R,52,IMP,HEAVY,571.54,694.01,2.27,10.75,148.49,10886.19,7555.71,2.18,1.44,13.82,65.47,11.65,147.13,10057,7189.45,1.22,5.14,1.02,12.63,64.87,401.43,59.86,MD30,7.3,3.6,0.64,2,13.3,YG3,Choice+,Choice,3.607,CAB,302.500565,2677.13,7,85.80628
2557R,80,IMP,LIGHT,527.31,721.22,2.42,10.68,210.74,11596.16,7963.38,1.27,1.46,19.73,86.94,10.65,211.49,11212.31,8264.53,1.74,4.39,0.99,19.85,87.25,424.11,61.25,SM60,5.6,3.6,0.64,2,17.5,YG2,Choice-,Choice,2.453,Angus Pride,298,2786.3,5,112.903
2605R,80,IMP,LIGHT,532.98,754.11,2.76,9.72,206.86,11075.15,7753.74,1.12,1.43,21.28,74.84,11.3,225.61,11591.29,8411.21,0.99,4.09,1,19.97,81.62,431.82,59.65,MT90,6.9,3.4,0.56,2,14.7,YG3,Choice,Choice,3.2136,CAB,303,2884.56,6,94.83852
2632R,80,IMP,LIGHT,514.84,723.49,2.61,10.23,191.69,11157.36,8076.03,1.15,1.38,18.74,73.5,11.89,213.16,11108.01,8402.09,1.19,4.56,0.96,17.93,81.73,406.88,58.58,MT20,6.2,3.3,0.52,2,16.9,YG2,Choice,Choice,2.2006,CAB,304,2726.88,6,109.03204
2659R,80,IMP,LIGHT,522.77,696.28,2.17,7.32,114.38,9889.08,7832,0.61,1.26,15.63,52.74,9.32,199.59,11044.34,8148.71,1.24,4.3,0.99,21.41,92.03,418.67,62.64,SLA00,8,3.5,0.6,2,15.2,YG3,Prime-,Prime,3.0434,HRI,317,2925.91,8,98.06432
2678R,80,IMP,LIGHT,514.84,714.42,2.49,7.99,156.27,9965.73,7975.95,1.7,1.25,19.56,62.64,12.47,197.44,11106.01,8184.54,1.92,5,0.99,15.84,79.14,424.11,61.84,MT50,6.5,3.4,0.56,2,13,YG3,Choice,Choice,3.693,CAB,303,2833.05,6,83.8708
2704R,80,IMP,LIGHT,535.25,734.83,2.49,8.21,136.29,9136.26,7208.1,0.97,1.27,16.61,54.63,11.25,195.71,10300.98,7705.68,1.91,4.51,0.97,17.39,78.45,443.62,62.89,MD30,7.3,2.8,0.32,2,12.3,YG3,Choice+,Choice,3.4804,CAB,303,2963.34,7,79.35468
2729R,80,IMP,LIGHT,531.85,714.42,2.28,11.89,203.25,10656.2,7127.87,1.54,1.5,17.09,89.06,11.12,206.02,10923.92,7985.17,1.31,4.87,0.99,18.52,90.28,413.23,60.25,SLA80,8.8,3.2,0.48,2,13.4,YG3,Prime-,Prime,3.2738,HRI,317,2887.87,8,86.45144
2739R,80,IMP,LIGHT,535.25,731.43,2.45,8.37,164.22,10857.13,8571.73,0.8,1.27,19.63,66.97,10.32,159.33,10654,8056.41,0.98,4.21,0.96,15.45,64.97,421.85,60.08,SLA20,8.2,2.8,0.32,2,15.4,YG2,Prime-,Prime,2.306,HRI,318,2957.4,8,99.35464
2740R,80,IMP,LIGHT,527.31,718.96,2.4,8.06,150.51,9336.63,6946.26,1.3,1.34,18.67,62.83,11.61,179.69,11497.14,8629.04,1.19,4.85,0.97,15.48,75.01,388.73,56.32,MT90,6.9,4.8,1.12,2,11.8,YG5,Choice,Choice,5.1806,CAB,289,2476.73,6,76.12888
2772R,80,IMP,LIGHT,504.63,674.73,2.13,8.61,99.1,9946.55,7810.48,0.94,1.27,11.51,46.61,10.61,138.24,10325.43,7993.37,1.22,4.99,0.94,13.03,65.02,384.2,59.31,MD70,7.7,2.7,0.28,2,14.5,YG2,Choice+,Choice,2.1786,Sterling Silver,296,2507.12,7,93.5482
2808R,80,IMP,LIGHT,520.51,745.04,2.81,11.22,146.05,10593.15,7694.76,1.34,1.38,13.01,52.04,12.18,196.72,11406.09,8569.73,1.09,4.34,0.97,16.15,70.09,433.19,60.57,SM30,5.3,3.3,0.52,2,16,YG2,Choice-,Choice,2.709,HRI,298,2845.9,5,103.2256
2812R,80,IMP,LIGHT,489.89,683.8,2.42,8.73,139.13,8779.35,6273.85,1.39,1.4,15.93,57.4,10.44,180.75,9267,6858.18,1.15,4.31,0.98,17.31,74.57,412.32,62.81,SM30,5.3,3.8,0.72,2,16,YG3,Choice-,Choice,3.0342,HRI,297,2699.73,5,103.2256
2838R,80,IMP,LIGHT,511.43,686.07,2.18,9.4,172.86,10610.35,7540.94,1.09,1.41,18.39,79.19,11.44,218.28,11051.9,8081.93,1.1,5.24,0.99,19.09,99.99,393.27,59.71,SM40,5.4,3.9,0.76,2,13.1,YG4,Choice-,Choice,3.9026,HRI,292,2531.64,5,84.51596
2840R,80,IMP,LIGHT,542.05,735.97,2.42,8.63,168.9,10520.46,8053.87,0.62,1.31,19.57,69.68,10.98,218.25,11018.35,8253.44,1.34,4.53,0.97,19.89,90.04,429.1,60.73,MT00,6,4,0.8,2,13.5,YG4,Choice,Choice,4.1748,CAB,298,2819.08,6,87.0966
2841R,80,IMP,LIGHT,519.37,703.08,2.3,6.9,139.93,9289.7,7349.82,0.64,1.26,20.28,60.93,10.59,190.4,10322.66,7804.69,1.4,4.61,0.96,17.98,82.92,420.48,62.3,MT20,6.2,4.2,0.88,2,14.7,YG4,Choice,Choice,3.9186,CAB,298,2762.46,6,94.83852
